description,price,rating,review_count,url
Sharper Image Noise Cancelling Bluetooth Headphones,$79.00,4.4 out of 5 stars,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00165561T7P0VPFT4OXX&url=%2FSharper-Image-Cancelling-Bluetooth-Headphones%2Fdp%2FB07KFM6KB6%2Fref%3Dsr_1_18_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-18-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_atf_next
"Sony WHXB700 Wireless Extra Bass Bluetooth Headset/Headphones with mic for Phone Call and Alexa Voice Control, Black",$128.00,4.5 out of 5 stars,2032,https://www.amazon.com/Sony-WH-XB700-Wireless-Bluetooth-Headphones/dp/B07PGL8J8G/ref=sr_1_19?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-19
Sony WH-CH710N/B Wireless Bluetooth Noise Cancelling Headphones (Renewed),$49.99,4.4 out of 5 stars,149,https://www.amazon.com/Sony-WH-CH710N-Bluetooth-Cancelling-Headphones/dp/B08GM9NKS2/ref=sr_1_20?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-20
Sony Noise Cancelling Headphones WHCH700N: Wireless Bluetooth Over The Ear Headset with Mic for Phone-Call and Alexa Voice Control W/GM 7- in-1 Accessories (Black),$99.99,5.0 out of 5 stars,2,https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WHCH700N/dp/B094NJCDRR/ref=sr_1_21?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-21
"Sony MDR-ZX310AP ZX Series Wired On Ear Headphones with mic, Blue",$19.99,4.4 out of 5 stars,5448,https://www.amazon.com/Sony-MDR-ZX310AP-Headband-Stereo-Headset/dp/B00IKYI3BQ/ref=sr_1_22?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-22
Sony MDR-Z7M2 Hi-Res Stereo Overhead Headphones Headphone (MDRZ7M2) Black,$598.00,4.5 out of 5 stars,48,https://www.amazon.com/Sony-MDR-Z7M2-Headphones-Headphone-MDRZ7M2/dp/B07G7LZNTW/ref=sr_1_23?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-23
"Sony WF-XB700 Truly Wireless Bluetooth Headphones, with Extra Bass, up to 18h battery life, splash and sweat resistance, Built-in Mic and Voice Assistant - Black",$124.99, , ,https://www.amazon.com/Sony-Bluetooth-Headphones-resistance-Assistant/dp/B086LKXYMD/ref=sr_1_24?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-24
Sony Noise Cancelling Headphones WHCH700N: Wireless Bluetooth Over the Ear Headset with Mic for phone-call and Alexa voice control - Black,$198.00,4.5 out of 5 stars,4571,https://www.amazon.com/Sony-WH-CH700N-Canceling-Headphones-WHCH700N/dp/B079GPFLT1/ref=sr_1_25?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-25
SONXTRONIC Xdr-8000 Vertical in Ear Ultralight Sport Running Headband Headphones,$24.99,4.0 out of 5 stars,1623,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0542695NYFXCBIV007X&url=%2FSONXTRONIC-Xdr-8000-Vertical-Ultralight-Headphones%2Fdp%2FB00QHOCTG6%2Fref%3Dsr_1_27_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-27-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_mtf
"Replacement for i Phone Headphones Wired Stereo Sound Earbuds Earphones with Microphone and Volume Control,Isolation Noise Compatible with 14/13/12/11 All i OS Systems",$12.98,4.0 out of 5 stars,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03162669VN5LGWB29DU&url=%2FReplacement-Headphones-Earphones-Microphone-Compatible%2Fdp%2FB09641RS42%2Fref%3Dsr_1_28_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-28-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_mtf
"Bose Noise Cancelling Headphones 700 — Over Ear, Wireless Bluetooth Headphones with Built-In Microphone for Clear Calls & Alexa Voice Control, Soapstone",$379.00,4.5 out of 5 stars,21648,https://www.amazon.com/Bose-Cancelling-Bluetooth-Headphones-Soapstone/dp/B07X5F81JS/ref=sr_1_29?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-29
Sony WH-1000XM4 Wireless Noise-Cancelling Over-The-Ear Headphones - Silver (Renewed),$199.99,4.6 out of 5 stars,109,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Noise-Cancelling-Headphones/dp/B08J1LF55S/ref=sr_1_30?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-30
Sony Extra Bass True Wireless Headphones - Black - WF-XB700/BZ,$56.95,4.2 out of 5 stars,485,https://www.amazon.com/Sony-Headphones-Bluetooth-Technology-WFXB700/dp/B08C288T86/ref=sr_1_31?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-31
"Sony MDRXB650BT/B Extra Bass Bluetooth Headphones, Black",$98.00,4.3 out of 5 stars,4594,https://www.amazon.com/Sony-MDRXB650BT-Extra-Bluetooth-Headphones/dp/B01BY7ZMXC/ref=sr_1_32?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-32
"Sony WH-XB900N Extra BASS Wireless Noise Cancelling Headphones (Black) with 10,000mAh PD & QC Fast Charging Ultra-Slim Battery Pack and Compact Headphone case (3 Items)",$248.00,4.7 out of 5 stars,127,https://www.amazon.com/Sony-WH-XB900N-Cancelling-Headphones-Ultra-Slim/dp/B07VR23S18/ref=sr_1_33?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-33
Skullcandy Indy Evo True Wireless In-Ear Earbud - 92 Blue,$49.99,4.1 out of 5 stars,16451,https://www.amazon.com/Skullcandy-Indy-True-Wireless-Earbud/dp/B0857JXV94/ref=sr_1_36?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-36
